"id","mjd","mag","magerr","limiting_mag","filter","flux","fluxerr"
805073573,61125.32175929984,17.624001140018418,0.06234338294749176,18.97891101720747,ztfg,323.8914949120002,18.59797196800001
805451397,61125.32175929984,17.62400108940829,0.06234300136566162,18.978917612025555,ztfg,323.89151000976597,18.597859003295667
805073578,61125.32175929984,17.62400108940829,0.06234337389469146,18.97891112425567,ztfg,323.89151000976597,18.59797013433235
805542038,61125.32175929984,17.618271903348706,0.026948212398545064,19.883832788224712,ztfg,325.6051299687183,8.081591239197547
805476124,61126.16229170002,17.451300130474834,0.052871000021696084,18.98514210734212,ztfr,379.73440551757756,18.491543041830454
805542039,61126.16229170002,17.451265595599637,0.05287053187591551,18.985117186150667,ztfr,379.74648422400037,18.491967488000018
805451398,61126.16229170002,17.4512655777173,0.05287053063511848,18.985117193749034,ztfr,379.7464904785161,18.49196735858668
805542040,61126.16229170002,17.423148822109912,0.016438091041811133,20.225406157592772,ztfr,389.70903193043773,5.900210860257446
805456342,61126.178127100226,17.387821615282085,0.037367140742827265,19.298482734884495,sdssr,402.59775970717607,13.855968958018078
805513859,61126.1949306,17.38030087196714,0.04667500033974647,19.049475836602685,ztfg,405.39617919921864,17.427683371828515
805542041,61126.1949306,17.380268100422,0.04667547270852785,19.04943207704921,ztfg,405.4084157440001,17.428385792000004
805476125,61126.1949306,17.380268097733033,0.04667546972632408,19.049432143730442,ztfg,405.40841674804676,17.428384721623836
805542042,61126.1949306,17.35499195614794,0.014592557816137917,20.286549188556936,ztfg,414.95711689980556,5.5771242526883
805485986,61126.21293189982,17.43702760149664,0.04146638804537102,19.77905149445496,sdssr,384.759152453878,14.69470415533835
805485887,61126.21293189982,17.361790940987255,0.03568386741664672,19.32249693737895,sdssr,412.366734486091,13.552868381795625
805488847,61126.2156142001,17.62385694837414,0.025277349287538435,21.47554305713004,sdssi,323.9345123119179,7.541616258270455
805488897,61126.215614200104,17.527565225898336,0.035207697572634845,19.502856952328074,sdssi,353.9760752354958,11.478554873847925
806943634,61126.24480320001,17.630400246983058,0.0726019963622093,18.819914629049727,ztfi,321.9881591796871,21.530997178680092
805513860,61126.24480320001,17.630386457863906,0.07260154932737349,18.819907525193027,ztfi,321.9922485351557,21.531138054169208
805542043,61126.24480320001,17.63038641370223,0.07260154635354638,18.81990752550412,ztfi,321.9922616320001,21.531138048000013
807852097,61126.24480320001,17.57820377512087,0.024571497838147428,19.944010486299092,ztfi,337.84577330093964,7.645850485515117
805524467,61126.27366279997,,,16.299999999999997,sdssr,,1096.4781961431872
805536280,61126.30112699978,17.352642953421913,0.04095470246767768,19.16376930459137,sdssr,415.8558532419698,15.68636346870387
805536729,61126.30277380021,17.598658816370722,0.03644226972500774,21.64165080234402,sdssi,331.5404124761233,11.12801165075521
805537132,61126.30277380021,17.504092546470808,0.036017098438986025,19.45470652844936,sdssi,361.71205367548373,11.999064401375394
807852098,61127.19017359987,,,15.7099003854107,ztfr,,1888.164577280001
806943635,61127.19017359987,,,15.70989990234375,ztfr,,1888.165417364454
806170294,61128.14094089996,17.117072063630573,0.44643281638071275,17.783507711416714,sdssi,516.619951783669,212.42369837398064
808132048,61128.14094089996,17.09834942287463,0.14391119808107275,17.544998740057068,sdssi,525.6058990978124,69.6675438528792
807852099,61132.19884259999,17.198333887096286,0.044020985401543845,18.931070276369983,ztfi,479.3651363839998,19.435775999999994
806943636,61132.19884259999,17.19833387251396,0.04402098432183265,18.93107028841772,ztfi,479.36514282226625,19.435775784333355
806968500,61132.19884259999,17.19829993479581,0.04402099922299385,18.931035983176496,ztfi,479.3801269531257,19.436389892536862
807515358,61132.23361109989,17.017499942841923,0.05800599977374077,18.450703440531715,ztfr,566.2393188476575,30.251618815895824
807852100,61132.23361109989,17.01749633951178,0.05800625395247065,18.4506950795826,ztfr,566.2411980800001,30.25185177600001
806968501,61132.23361109989,17.017496314858235,0.05800624936819076,18.450695140735647,ztfr,566.2412109374998,30.251850072093664
807956750,61135.16846060008,16.977600570613433,0.040355000644922256,18.80474296324099,ztfr,587.4349365234366,21.833975083785795
807515359,61135.16846060008,16.977577332162134,0.04035513848066329,18.804716016376943,ztfr,587.4475097656237,21.83451698747918
807852101,61135.16846060008,16.977577288169947,0.04035513969277331,18.804715939773505,ztfr,587.447533568,21.834518528
807961273,61137.16277780011,17.176901260735452,0.07645300030708313,18.31030071619366,ztfi,488.9219055175786,34.42783470686803
807956751,61137.16277780011,17.176901260735452,0.07645342499017715,18.31029468513499,ztfi,488.9219055175786,34.42802594749045
807961274,61137.17045139987,16.991840727343178,0.046494726091623306,18.665217282553936,ztfr,579.7806396484373,24.828076944975255
808129980,61137.34977729991,17.06608702076084,0.026583538618397767,20.819670332374475,sdssr,541.4585198106415,13.257256604842814
808143821,61137.34977729991,16.97693504292048,0.039027232115460046,18.840401453527427,sdssr,587.7951290482463,21.128536413514063
808131567,61137.351425,17.1464292023899,0.03521805347036765,19.928831061702805,sdssi,502.8382647907232,16.310577853753735
808142121,61137.351425,17.12277620467698,0.031950679336096605,19.203461752338143,sdssi,513.9128986407212,15.123255685124244
804361584,61123.4115704,17.983130182108525,0.05318442834519779,19.51055473226998,sdssg,232.67403809411567,11.397460683887784
804357950,61123.4115704,,,21.68224071676378,sdssg,,7.7108758949268505
804539894,61124.1737755998,18.215175674255995,0.018587250321070878,22.40983785991945,sdssg,187.90127642403135,3.216774060988643
804539837,61124.173775599804,17.856384246763398,0.0377750396339795,19.75525771416038,sdssg,261.48471131851096,9.097601508035629
804574284,61124.21921670018,17.842359382032754,0.03253318500297808,19.903428714002597,sdssg,264.88431784927906,7.9370389227261535
804574508,61124.21921670018,17.792605877841638,0.01133888848827319,22.355616906024075,sdssg,277.30496717152715,2.8960350462870212
805047504,61125.28496959992,17.656783361959064,0.037540937069388866,19.56240637864657,sdssg,314.25822646995744,10.865943542957176
805047556,61125.28496959992,17.54506381133033,0.016005485563214874,21.833100358926416,sdssg,348.3168430150925,5.1347465230236
805483674,61126.21024330007,17.478048846350283,0.02437686723895128,19.852489905231756,sdssg,370.493387743933,8.318289549859031
805483820,61126.21024330007,17.326208436465464,0.02403131152563191,21.676836235600142,sdssg,426.1049951791217,9.431261329319401
805535117,61126.29948509997,17.43787154223023,0.042106419536725836,19.218886547977164,sdssg,384.46019608410575,14.909922171284238
805535188,61126.29948509997,17.34757438776286,0.0256331263005975,21.714813758320815,sdssg,417.8017405389479,9.863873689493573
808129930,61128.137646200135,17.302248711445152,0.699476756760093,16.032201281303045,sdssg,435.6126825325461,280.6399427836229
806169392,61128.13764620014,17.237590203634262,0.1031428193298486,18.71599526406026,sdssg,462.3426080942348,43.92164495037541
808130128,61137.348133299965,17.547197544321435,0.10811171236446024,18.30440146810138,sdssg,347.63298876404207,34.61540429889985
808126337,61137.34813329997,17.44089486395349,0.03305695120435927,21.02928703344523,sdssg,383.39112421071854,11.672947470736235
